,APP,API invoked,Value 1,Value 2,Data type,Org text,Key words,Decision(Xueling),Xiaoyin,Rocky,Final Decision
62,uk.co.ee.myee,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,"We’ll use your personal information to create aggregated and anonymised information. Nobody can identify you from that information and we’ll use it to:
run management and corporate reporting, research and analytics, and to improve the business; 

Who do we share your personal information with, why and how?
We use other providers to carry out services on our behalf or to help us provide services to you. We also use them to:
analyse and improve the information we hold (including about your interactions with our service);",,abstract,abstract,,abstract
63,com.ancestry.android.apps.ancestry,com.crashlytics.android.Crashlytics.setUserName,UTSA Research,,user name,"Initially, Ancestry collects basic information from you to create your account(s), including name

we share information as described in our Privacy Statements, such as with our affiliated companies, other users, our service providers,

Ancestry primarily uses information about you to provide, personalize, improve, update and expand and improve our services to you. For example detecting and protecting against error, fraud, or other criminal or malicious activity as well as facilitating product development

we share information as described in our Privacy Statements, such as with our affiliated companies, other users, our service providers","service providers, name",abstract,abstract,abstract,no violation
64,com.surfeasy,com.mixpanel.android.mpmetrics.MixpanelAPI.identify,utsaresearch2018@gmail.com,,user email,"4. Analytics technology, such as Google Analytics, is used to improve the service, design, and app
experience.","Analytics technology, no term about email information",violation,violation,not sure,violation
65,com.mcu.iVMS,com.flurry.android.FlurryAgent.setUserId,ZX1G22KHQK,,serial number,"We also use cookies and other technologies to keep records, store your preferences, improve our advertising, and collect certain non-identifying information, like such as log data and device data.","technologies to keep records,  device data",abstract,abstract,,abstract
66,com.alawar.treasuresofmontezuma3,com.flurry.android.FlurryAgent.setUserId,UID:355458061189396757601f43fe6cab0,,variant_IMEI+android_id,"Online Tracking Technologies
When you use the Website, Alawar or third parties authorized by Alawar that provide content, advertising, or other functionality on our Website, may use cookies, pixel tags, local storage, mobile  device identifiers and other technologies

Analytics Cookies. 
We use third-party analytics providers, including, but not limited to,
Google Analytics, Google Optimize, Doubleclick and Yandex.Metrica (collectively “Third
Party Analytics Providers”).

These parties are contractually prohibited from processing Personal information
for any purpose other than for performing legitimate contractual obligations or to comply with
applicable legal requirements.","Online Tracking Technologies
, mobile device identifiers",abstract,abstract,,no violation
67,fr.snapp.fidme,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"What methods are used to process the personal details collected to enable the User to receive targeted sales/promotional offers issued by Partner Agencies within Third-Party Applications?

With the User’s consent, SNAPP’ as data controller, may be required to collect and share geolocation data and/or the advertising ID from the User’s Mobile Device to its Technological Partners (“IDFA” on iOS,
“Advertising ID” or ‘”Wi-Fi MAC address” on Android) interests. This data is also used in a anonymous and aggregated form.","currently not available, using old version

anonymous and aggregated form.",violation,violation,violation,violation
67,fr.snapp.fidme,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,email,utsaresearch2018@gmail.com,user email,,,,,,
68,com.yidio.androidapp,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,Your Yidio information will not be shared with third parties unless it is necessary to fulfill a request,"third party, not share",violation,violation,violation,violation
69,com.application.zomato,com.crashlytics.android.Crashlytics.setUserName,Utsa Research,,user name,"The information we collect on or through our Services may include:

Your account information: Your full name,

How we use the information we collect
Administer our Services and diagnose technical problems.","diagnose technical problems, full name",abstract,abstract,,no violation
70,com.avector.itw.itwmj16hd,com.applovin.adview.AppLovinIncentivizedInterstitial.setUserIdentifier,757601f43fe6cab0@757601f43fe6cab0_0_2_uaNPvDatbzuo7QvCBudQ9kSXRv96Oob9liKtGLb39vEd76pkyo7spfkv5  dZv,,variant_Android ID,,,not in english,,,not in english
71,com.xyrality.lkclient,com.tune.Tune.setAndroidId,757601f43fe6cab0,,Android ID,"We only pass on personal data to collaborating companies or external service providers if the latter is stipulated by law or legitimate, in particular in order to fulfil the contract, process payment or protect other users, or to fend off any
 risks to state and public security or prosecute criminal offences.
 
Performance cookies. Performance cookies are sometimes also called analytical cookies (Analytics Cookies), and gather information about your use of the services, enabling us to improve the functioning of the services.
 
 Targeting and advertising cookies. We and our service providers may deploy targeting or advertising cookies to show you advertisements that are better adapted to your interests and preferences.","service providers, personal inforamtion",abstract,abstract,,abstract
72,com.kokteyl.goal,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,"We collect the following User Information in accordance with applicable law:
device IDs or unique identifiers,

More specifically, we will use the User Information to do one or more of the following things:
n. understand user trends and patterns; and
o. develop aggregate analysis in respect of our users and business intelligence that enable us to operate, protect, make informed
decisions and report on the performance of our business.

Analytics cookies - We may use third party analytics services such as Google Analytics and others. 

We may also share User Information with selected third parties including:
analytics and search engine providers that assist us in the improvement and optimisation of the platforms.","analytics services, device IDs",abstract,abstract,,no violation
73,com.wanelo.android,com.crashlytics.android.Crashlytics.setUserName,utsaresearch,,user name,"3.1. Types of Personal Information We Collect:
user name.

We Use Vendors and Service Providers. We employ service providers to perform tasks on our behalf and need to share your information with them so we can provide products or Services to you. The types of service providers (processors) to whom we entrust Personal Information include service
providers for: (i) provision of IT and related services;","service providers , user name",abstract,abstract,,no violation
74,com.yemenfon.mersal,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,dev_id,757601f43fe6cab0,Android ID,"B. Non-Personal Information - 
We also collect aggregate, non-personally identifiable information about you and your use of the Application, as described
in more detail below, including by using ""cookies,"" web beacons, local shared objects, or other types of tracking technology.

B. How We Use Your Non-Personal Information - 
Non-Personal Information collected from you is used for various purposes, such as:

4. To analyze trends, track user movement and gather statistical information for aggregate use;","tracking technology, aggregate, non-personally identifiable information",violation,violation,violation,violation
75,air.com.rosettastone.mobile.CoursePlayer,com.crashlytics.android.Crashlytics.setUserName,utsaresearch2018@gmail.com,,user email,"The elements of your Data that we collect may include: 
 E-mail address

We use your Data for purposes which may include: 
Resolving disputes, collecting fees, and troubleshooting problems. 

We do not share this information with outside parties except 1. To the extent necessary to complete that order or to provide services where the outside party is acting on our behalf and has no independent right to use the information we provide (e.g., third-party shipping, business analytics, or customer support ),","troubleshooting problems,  customer support,  E-mail address",abstract (not sure whether  troubleshooting problems includes crash analysis),abstract,abstract,no violation
76,air.com.coalaa.itexasth,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,,no terms about third party or service provider,violation,violation,violation,violation
77,com.e8tracks,com.crashlytics.android.Crashlytics.setUserName,utsa research,,user name,"The Information 8tracks 
 You may provide to 8tracks what is generally called ""personally
identifiable"" information (such as your name)

We may disclose some limited User information to affiliated companies or other businesses or persons
to: provide website hosting, maintenance, and security services;","maintenance,  User information",abstract,abstract,,abstract
77,com.e8tracks,com.crashlytics.android.Crashlytics.setUserIdentifier,utsa research,,user name,,,,,,
78,com.gingersoftware.android.keyboard,com.appsflyer.AppsFlyerLib.setCustomerUserId,757601f4-3fe6-cab0-9702-7e324b79ba35,,variant_android_id,"We may use a third party SDK that has access and uses your advertising identifier and/or IDFA, as applicable, to display advertisements or content from third parties to you.

statistical and analytical purposes to enable us to improve and enhance the Software and the Services. This
data and information includes compilations of various writing errors but is not associated with particular
users.","no term about analytics,  using Ads ID for advertisements",violation,violation,violation,violation
79,com.myntra.android,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"When you use our Platform, we also process technical data such as your IP-address, Device ID, Device Contacts, Device Accounts including third-party accounts or MAC-address, and information about the manufacturer, model, and operating system of your mobile device. We use this data to enable us to deliver the functionalities of the Platform, resolve technical difficulties","resolve technical difficulties, Device ID",violation,violation,violation,violation
79,com.myntra.android,com.crashlytics.android.Crashlytics.setUserName,UTSA,,user name,,,,,,
80,br.com.mobits.peixeurbano,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,,,not in english,,,not in english
81,com.touchnote.android,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"We will collect and process the following data about you:
Information you give us. This is information about you that you give us by filling in forms on
our Platform or by corresponding with us by phone, e-mail, information you provide when you register to use our Platform, your login information 

We use information held about you in the following ways: to administer our Platform and for internal operations, including troubleshooting, data analysis, testing, research, statistical and survey purposes;","troubleshooting, data analysis, e mail",abstract,abstract,,no violation
82,com.alawar.mysteryisland,com.flurry.android.FlurryAgent.setUserId,UID:355458061189396757601f43fe6cab0,,variant_IMEI,"Online Tracking Technologies
When you use the Website, Alawar or third parties authorized by Alawar that provide content, advertising, or other functionality on our Website, may use cookies, pixel tags, local storage, mobile  device identifiers and other technologies

Analytics Cookies. 
We use third-party analytics providers, including, but not limited to,
Google Analytics, Google Optimize, Doubleclick and Yandex.Metrica (collectively “Third
Party Analytics Providers”).

These parties are contractually prohibited from processing Personal information
for any purpose other than for performing legitimate contractual obligations or to comply with
applicable legal requirements.","Online Tracking Technologies
, mobile device identifiers",abstract,abstract,,no violation
83,com.freerange360.mpp.GOAL,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,"2. What data we collect
We collect the following User Information in accordance with applicable law:
device IDs or unique identifiers, location data,


More specifically, we will use the User Information to do one or more of the following things:
n. understand user trends and patterns; and
o. develop aggregate analysis in respect of our users and business intelligence that enable us to operate, protect, make informed
decisions and report on the performance of our business.


We may use third party analytics services such as Google Analytics and others. Your IP address and other
information will be collected by automated means to evaluate your use of the website, compile reports on website activity,
identify user patterns and provide related services.

We may also share User Information with selected third parties including:
analytics and search engine providers that assist us in the improvement and optimisation of the platforms.","third party analytics services, device IDs",abstract,abstract,,no violation
84,com.gameinsight.tribez,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,"2. IINFORMATIION WE MAY COLLECT FROM YOU
Android ID

3.HOW WE USE YOUR IINFORMATIION
3.1 The information we collect will only be used in connection with our provision of Services to you  and to comply with legal obligations. To process and analyze information to understand you, your preferences to enhance your experience and enjoyment using our Services.","analytics, android id",abstract,abstract,,no violation
85,com.oni.oni,com.google.firebase.analytics.FirebaseAnalytics.setUserId,757601f43fe6cab0,,android_id,,,not in english,,,not in english
85,com.oni.oni,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,,,,,,
86,com.nousguide.android.rbtv,com.google.android.gms.analytics.Tracker.setClientId,757601f43fe6cab0,,android_id,"Information we collect automatically
 unique device identifiers

5 How we share and disclose your information
(c) share your personal data with and access information from analytics and search engine
providers that assist us in the improvement and optimisation of the Website and Apps for
better personalisation of content and advertising.

For our Apps, we collect information automatically through the use of unique device
identifiers (""IDs""). An ID is a specific string of numbers and letters (a ""character string"") which is
assigned to your device, but does not name you.


Analytics Cookies.
These cookies collect information that is used, either in aggregate form to help us understand how Red Bull Sites are being used or how effective our marketing campaigns are, or to help us customize Red Bull Sites for you. 

Google Analytics","Analytics Cookies., Google Analytics",no violation,no violation,,no violation
87,com.wevideo.mobile.android,com.crashlytics.android.Crashlytics.setUserIdentifier,utsaresearch2018@gmail.com : 1277066070,,user email,"When you create a WeVideo Account, you provide us with personal information that includes your
name and, when not using single sign-on, an email address 
We also use your information to ensure our services are working as intended, such as tracking
outages or troubleshooting issues that you report to us. 

When you have issues or problems using our services, and you ask us to help troubleshoot those
issues you report, we will analyze crash reports and usage characteristics of your account to help
provide you with the best support.","crash reports, email",abstract,abstract,,no violation
87,com.wevideo.mobile.android,com.crashlytics.android.Crashlytics.setUserName,UTSA Research,,user name,,,,,,
87,com.wevideo.mobile.android,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,,,,,,
88,in.redbus.android,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,device_id,757601f43fe6cab0,android_id,"1. PERMISSIONS REQUIRED FOR USING OUR MOBILE APPLICATIONS
When the redBus app is installed on your phone or tablet, a list of permissions appear and are needed for the app to function effectively.
There is no option to customize the list. The permissions that redBus requires and the data that shall be accessed and its use is as below:

9. Device ID and Call information:This permission is used to detect your Android ID through which we can uniquely identify users. It
also lets us know your contact details using which we pre-populate specific fields to ensure a seamless booking experience.

redBus may share your Personal Information to third party that redBus may engage to perform certain tasks on its behalf, including but not
limited to payment processing, data hosting, and data processing platforms.
We use non-identifiable Personal Information of Users in aggregate or anonymized form to build higher quality, more useful online services
by performing statistical analysis of the collective characteristics and behavior of our customers and visitors, and by measuring
demographics and interests regarding specific areas of the Website. 


Occasionally, redBus will hire a third party for market research, surveys etc. and will provide information to these third parties specifically for
use in connection with these projects. The information (including aggregate cookie and tracking information) we provide to such third
parties, alliance partners, or vendors are protected by confidentiality agreements and such information is to be used solely for completing
the specific project, and in compliance with the applicable regulations.","third party for market research,  Android ID",abstract,abstract,,no violation
88,in.redbus.android,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,,,,,,
89,com.doubleugames.DoubleUCasino,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"WHAT WE COLLECT
No term about Android ID
We may use and process your Personal Information for one of the following purposes:
 to use in an anonymized and aggregated way in order to perform statistical analysis

We will not use your Personal Information for any other purpose than the purpose for which the data is originally collected.
To operate our business and to enhance your gaming experience, we may use your information in the following ways:
To create reports, analyses or similar for the purpose of research and business intelligence and be able to track potential problems, behaviour and trends","statistical analysis, anonymized and aggregated",abstract,abstract,,abstract
90,com.octro.rummy,com.appsflyer.AppsFlyerLib.setCustomerUserId,757601f43fe6cab0,,android_id,"we collect some personal information to allow us to provide you the service, fulfill your requirement and
provide you the customer support. This information may include …. your device information

Only Octro has access to any such information. We will not give or sell your private information to any other company for any purpose without your written consent.","device information, not give or sell your private information to any other company for any purpose without your written consent.",violation,violation,violation,violation
91,com.voxy.news,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"2. Types of Information We Collect
We may collect personal information from you including, without limitation, non-public information about you that helps Voxy identify you, such as first and last name, birth date, email address

8. Information Sharing with Third Parties
Voxy may disclose the information it collects about you: (i) to third parties to provide analytics for advertising purposes or to confirm or update information provided by you; (ii) to suppliers, vendors and others who help Voxy provide services to you","email address, third-party",abstract,abstract,abstract,no violation
92,ru.mamba.client,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"Third-Party Service Providers: We employ other companies and individuals to perform functions on our behalf. Examples include providing
applications, sending postal mail and e- mail, analyzing data, providing marketing assistance, processing credit card payments, and providing customer service. They have access to personal information needed to perform their functions, but may not use it for other purposes.","Third-Party Service Providers, analyzing data, personal information",abstract,abstract,,abstract
93,com.godgame.bigtwo.android,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,,,not in english,,,not in english
94,com.privacystar.android,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,android_id,There are also times when it may be appropriate for First Orion to make certain personal information about you available to companies that First Orion has a relationship with or that perform work for First Orion to provide Website and App function on our behalf.,"personal information, provide Website and App function on our behalf.",abstract,abstract,,abstract
95,com.movile.playkids,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"We may automatically track and collect the following categories of
information when you visit our Apps or use our Subscription Service:
(1) IP address; (2) Device ID


We may share your personal information and data traffic with our partners who assist us through the development of essential services involved in the operations of the Apps and Subscription Services
● Analytics (Google Analytics, Flurry)","Analytics (Google Analytics, Flurry), Device ID",abstract,abstract,,no violation
96,com.chbreeze.jikbang4a,com.tune.Tune.setAndroidId,757601f43fe6cab0,,android_id,,,not in english,,,not in english
96,com.chbreeze.jikbang4a,com.tune.Tune.setAndroidId,757601f43fe6cab0,,Android ID,,,,,,
97,com.animoto.android.videoslideshow,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"We may collect the following personal information from you:
Contact Information, such as name and email address

Information Sharing
Providing information related to site security, maintenance, performance, and error tracking

We may receive information about you from other sources, such as third parties from whom we obtain data,
and combine this data with information we already have about you.","error tracking, email address",abstract,abstract,abstract,no violation
98,com.everycircuit.free,com.crashlytics.android.Crashlytics.setUserName,utsaresearch,,user name,"Information collection and use
Personal Information includes, but is not limited to email address

Information sharing and disclosure
Payment and service providers. We may employ third parties to facilitate our Service, to provide the Service on our behalf, to perform
services such as maintenance, database management, analytics and improvement of the features offered by our Service as well as to
assist us in analyzing how our Service is used. These third parties may have access to your Personal Information only to perform these
tasks on our behalf and are obligated not to disclose or use it for any other purpose.","maintenance, Personal Information",abstract,abstract,,abstract
99,com.ember.nationzSD,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"IInfforrmattiion Recceiived Thrrough Yourr Wiirrellessss Deviicce
unique device identifier

We will only share your information (including personal data) with the third parties listed on Exhibit A (as updated from time to time) or under the following circumstances:
AppsFlyer","AppsFlyer, unique device identifier",no violation,no violation,,no violation
100,com.classdojo.android,com.crashlytics.android.Crashlytics.setUserIdentifier,"{userId: , deviceId: 757601f43fe6cab0}",,variant_Android ID,"Personal Data We Collect
Mobile device ID
More specifically, this information collected from non-students is used to:
 Provide and improve the Service and ClassDojo Website, for example by developing new products and features","Provide and improve the Service, Mobile device ID",abstract,abstract,,no violation
101,com.hi5.app,com.crashlytics.android.Crashlytics.setUserName,utsaresearch2018@gmail.com,,user email,"III. Information We Collect
Email Address
we use and disclose your information in the following ways:
Bug fixes and product improvement. To find and fix technology
problems. We send data to companies we do not own in order to
analyze bugs in our websites and apps so that we can keep them
running smoothly.","Bug fixes, email address",abstract,abstract,abstract,no violation
102,vivino.web.app,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,vivino_email,utsaresearch2018@gmail.com,user email,"We mainly collect the personal data that you submit to us, including your contact informa""on, reviews and purchase history. including email

Besides our own cookies, we use cookies from third parties, e.g. from suppliers of advertisements and analytic tools Google

Personal data about our users is an essential part of our business. We only share your personal data as described below apart from when we share it with a third-party vendor.","analytic tools, Google",no violation,no violation,,no violation
103,com.lulo.scrabble.classicwords,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,"Crash reporting:
An App may use a third-party service (Crashlytics) to collect reports of crashes and other technical
issues. This crash reporting service automatically collects certain information that does not personally
identify the user of the App. This information includes, but is not limited to, device state information,
unique device identifiers, device hardware and OS information, and information relating to how our
application functions.","Unique device identifier, Crashlytics",no violation,no violation,,no violation
104,com.stitcher.app,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"""Personal Information"" refers to information that tells us specifically who you are, such as your name, phone
number, email, postal address, and possibly information relating to certain support or customer service issues. In many cases, we need this information to provide to you many of the Services that you may have requested. We use this Personal Information to manage and provide our Services, monitor user activity, and otherwise to improve our Services.

We do not disclose Personal Information to third parties, except when one or more of the following
conditions is true:
The disclosure is to outside businesses to perform certain services for us, such as maintaining our Services, providing marketing assistance, and data analysis.","maintaining our Services, email",abstract,abstract,abstract,no violation
105,com.hostelworld.app,com.tune.Tune.setAndroidId,757601f43fe6cab0,,android_id,"Device Details - We automatically collect details about the device you are using, including its IP address, its device ID, the browser you are using, and the operating system that the device uses.

As part of our online advertising programmes we may share your personal data with third parties, who will combine it with data that they hold about you in order to tailor adverts that appear on third-party websites (which may be our own adverts, or adverts we serve on behalf of third parties). Where this data is shared you are not directly identifiable from the information itself, as we use technologies that use non-personally identifiable codes and tags.","not directly identifiable,  non-personally identifiable",violation,violation,violation,violation
106,jp.co.mediaactive.ghostcalldx,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,,,not in english,,,not in english
106,jp.co.mediaactive.ghostcalldx,com.google.firebase.analytics.FirebaseAnalytics.setUserId,757601f43fe6cab0,,Android ID,,,,,,
107,jp.co.atm.murderroom.android,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab002:00:00:00:00:00,,variant_Android ID,,not in google play website,not availble,,,not availble
108,m.sanook.com,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,,no term about third-party,violation,violation,violation,violation
109,com.estmob.android.sendanywhere,com.crashlytics.android.Crashlytics.setUserName,utsaresearch2018@gmail.com,,user email,"We collect several different types of information for various purposes to provide and improve our Service to you.Registration information: Information you provide to us when you register for an account.

These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other
purpose.

Crash report
We may use third-party Service Providers to monitor and report a crash in our app for technical and operational support and maintain service.",,abstract,abstract,,abstract
110,com.shopclues,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,c. ShopClues.com may also aggregate (gather up data across all user accounts) personally identifiable information and disclose such information in a non-personally identifiable manner to advertisers and other third parties for other marketing and promotional purposes.,non-personally identifiable manner,violation,violation,violation,violation
111,com.hapogames.FreeCell,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab0,,Android ID,"Smoote Mobile may use and disclose to Smoote Mobile’s partners and contractors the collected non-personal data for purposes of analyzing usage of the Services, advertisement serving, managing and providing the Services and to further develop the Services and other Smoote Mobile services and products.

Smoote Mobile may use collected personal data for purposes of analyzing usage of the Services, providing customer and technical support, managing and providing Services (including managing advertisement serving) and to further develop the Services and other Smoote Mobile services and products. Smoote Mobile may combine non-personal data with personal data.",personal data for purposes of analyzing usage of the Services,abstract,abstract,,abstract
111,com.hapogames.FreeCell,com.google.firebase.analytics.FirebaseAnalytics.setUserId,757601f43fe6cab0,,Android ID,,,,,,
112,com.ember.bingoSD,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,"unique device identifier

We will only share your information (including personal data) with the third parties listed on Exhibit A (as updated from time to time) or under the following circumstances:
AppsFlye","AppsFlyer, unique device identifier",no violation,no violation,,no violation
113,com.snipsnap.snipsnapapp,com.mixpanel.android.mpmetrics.MixpanelAPI.identify,utsaresearch2018@gmail.com,,user email,"We collect the following types of
Personal Information:
Contact Information that allows us to communicate with you, such as your
name, postal addresses, email addresses

SnipSnap App LLC uses Personal Information to: 
Track redemption of coupons and perform other analytics;

In many cases, the information we collect using cookies and other tools is used
in non-identifiable ways, without any reference to Personal Information

We may also disclose
information about you that is not personally identifiable. For example, we may
provide our merchants, business partners, or other third parties with reports
that contain aggregated and statistical data about our users

We use Google Analytics to help us understand how visitors interact with our
website and to help improve our user experience.",no terms about share personal info to analytic tools,violation,violation,violation,violation
114,com.bang.bangwithfriends,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"Device Data: We collect and store data about the computer or mobile device you
use to access our Services, including your mobile device's unique ID number (e.g.,
IMEI, AD ID), your geographic location, the hardware model, operating system and
version.

We share the data we collect from you, including aggregated together with non-PII
data, with third party service providers. This may include:
Data analytics providers; and
Marketing service providers",Data analytics providers;  mobile device's unique ID number,abstract,abstract,,no violation
115,com.frograms.watcha,com.crashlytics.android.Crashlytics.setUserEmail,utsaresearch2018@gmail.com,,user email,"The Personal Information we and our service providers
collect includes but is not limited to:
- Your full name, email address

3.6. Sharing and Provision of Personal Information -  The Company will not use your Personal Information beyond the scope specified in the Privacy Policy, or provide Personal Information to third parties (other persons or other institutions), except in cases consented to by you, or in any of the following situations: 
To perform tasks on our behalf and to assist us in providing our Service;","service provider, full name, email address",abstract,abstract,,no violation
115,com.frograms.watcha,com.crashlytics.android.Crashlytics.setUserName,UTSA Research,,user name,,,,,,
116,com.godgame.texasholdem.android,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,,,not in english,,,not in english
117,jp.co.ateam.android.lie,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab002:00:00:00:00:00,,variant_Android ID,,not in google play store,not available,,,not available
118,com.kekanto.android,com.appsee.Appsee.setUserId,757601f43fe6cab0,,Android ID,,,not in english,,,not in english
119,com.production.truspertips,com.crashlytics.android.Crashlytics.setUserName,UTSA Research,,user name,"Information collection:
You provide us information about yourself, such as your name,

Musely uses information we collect along with select partners (e.g. Facebook) to determine your interests
in order to provide you with the Service, analyze how the Service is used, diagnose service or technical
 problems","name, technical
 problems",abstract,abstract,abstract,no violation
120,app.staples,com.tune.Tune.setUserName,utsaresearch2018@gmail.com,,user email,"We collect personally identifiable and transactional information (purchase-related history) which you provide us directly, for example, in connection with a purchase, a promotion, or application for a membership program.

How We Share Your Personal Information.
We may share your Personal Information with other parties in the following
instances: 
To process transactions or provide services on our behalf, including but not limited to providers of product delivery services (for example UPS and FedEx) and website analytics (for example Google
Analytics).","Analytics, personal information",abstract,abstract,,abstract
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
